Question,Option1,Option2,Option3,Option4,Correct Answer
Which city’s walls fell after the Israelites marched around it?,Jericho,Love the Lord your God with all your heart,Paul,12,Jericho
What was the first miracle of Jesus?,Turning water into wine,He washed their feet,12,Samuel,Turning water into wine
What was Peter’s occupation before following Jesus?,Fisherman,Abraham,Jesus wept,6,Fisherman
Who is known as the father of faith?,Eve,Abraham,Bethlehem,Peter,Abraham
How many plagues did God send on Egypt?,Revelation,10,He washed their feet,Turning water into wine,10
Who interpreted dreams for the Pharaoh of Egypt?,9,Do unto others as you would have them do unto you,Joseph,Bethlehem,Joseph
Who was the tax collector that climbed a tree to see Jesus?,8,Zacchaeus,The Red Sea,12,Zacchaeus
What food did God provide the Israelites in the wilderness?,Abraham,Methuselah,Manna,Jordan River,Manna
Where did Moses receive the Ten Commandments?,Mount Sinai,Cain,Locusts,Jonah,Mount Sinai
Which book of the Bible tells the story of David and Goliath?,8,1 Samuel,12,Do unto others as you would have them do unto you,1 Samuel
What did Moses part to allow the Israelites to escape Egypt?,The Red Sea,1 Samuel,Jordan River,Judas Iscariot,The Red Sea
Who was the Roman governor who sentenced Jesus to be crucified?,Revelation,Pontius Pilate,Jordan River,Locusts,Pontius Pilate
Who was the apostle that doubted Jesus’ resurrection?,The Red Sea,Thomas,King Herod,10,Thomas
Who was the tax collector that climbed a tree to see Jesus?,Zacchaeus,10,40 days,Moses,Zacchaeus
Which city’s walls fell after the Israelites marched around it?,Jericho,Love the Lord your God with all your heart,Jonah,Manna,Jericho
What type of insect did John the Baptist eat in the wilderness?,Locusts,Tax collector,Turning water into wine,The Red Sea,Locusts
Where did Moses receive the Ten Commandments?,Mount Sinai,Methuselah,"Shadrach, Meshach, Abednego",Thomas,Mount Sinai
Where did Moses receive the Ten Commandments?,Thomas,Samuel,Mount Sinai,David,Mount Sinai
Who was thrown into the lion’s den?,Moses,Adam,Daniel,Thomas,Daniel
Who is the mother of Jesus?,Mary,Turning water into wine,Samuel,Zacchaeus,Mary
What did Solomon ask God to give him?,Locusts,Thomas,Wisdom,Peter,Wisdom
Who is known as the father of faith?,Jordan River,Samson,Abraham,12,Abraham
Who was the apostle that doubted Jesus’ resurrection?,Mary,Thomas,Mount Sinai,10,Thomas
How many days did it rain during the flood?,Paul,Tax collector,40 days,1 Samuel,40 days
Who was the first woman created by God?,Garden of Eden,Wisdom,Eve,Judas Iscariot,Eve
Who was thrown into the lion’s den?,Wisdom,Mary,The Red Sea,Daniel,Daniel
Which disciple denied Jesus three times?,Eve,Bethlehem,6,Peter,Peter
Which city’s walls fell after the Israelites marched around it?,Jericho,King Herod,Bethlehem,Paul,Jericho
Who was the Roman governor who sentenced Jesus to be crucified?,9,Mount Sinai,Loaves and fishes,Pontius Pilate,Pontius Pilate
Who was thrown into the fiery furnace but survived?,"Shadrach, Meshach, Abednego",Mary,8,Judas Iscariot,"Shadrach, Meshach, Abednego"
What did Moses part to allow the Israelites to escape Egypt?,The Red Sea,Jesus wept,Bartimaeus,Jericho,The Red Sea
Who was the first woman created by God?,Abraham,12,Tax collector,Eve,Eve
Who betrayed Jesus for 30 pieces of silver?,Manna,The Red Sea,Judas Iscariot,Love the Lord your God with all your heart,Judas Iscariot
Who was the Queen of Persia who saved the Jews?,Mary,Manna,Esther,Loaves and fishes,Esther
What was the first miracle of Jesus?,Turning water into wine,12,Genesis,Joseph,Turning water into wine
Who was the only female judge of Israel?,Light,Deborah,Jonah,Eve,Deborah
What did Solomon ask God to give him?,Esther,Jericho,Love the Lord your God with all your heart,Wisdom,Wisdom
How many books are in the Bible?,66,Jericho,Mary Magdalene,Golgotha,66
Who betrayed Jesus for 30 pieces of silver?,Eve,6,Jericho,Judas Iscariot,Judas Iscariot
How many fruits of the Spirit are mentioned in Galatians?,Moses,"Shadrach, Meshach, Abednego",9,Deborah,9
Where was Jesus born?,Stephen,King Herod,Abraham,Bethlehem,Bethlehem
What was the first miracle of Jesus?,Turning water into wine,Wine,8,Judas Iscariot,Turning water into wine
Who led the Israelites out of Egypt?,Mary Magdalene,Pontius Pilate,Jesus wept,Moses,Moses
How many books are in the Bible?,Garden of Eden,Goliath,9,66,66
Who betrayed Jesus for 30 pieces of silver?,Stephen,8,Judas Iscariot,Peter,Judas Iscariot
Who was the apostle that doubted Jesus’ resurrection?,Turning water into wine,Wisdom,Thomas,Mary,Thomas
What was the second plague of Egypt?,Frogs,Samuel,Zacchaeus,Sea of Galilee,Frogs
How many disciples did Jesus have?,Daniel,Cain,Zacchaeus,12,12
How many days did it rain during the flood?,40 days,Moses,Wisdom,Paul,40 days
What is the shortest verse in the Bible?,Jesus wept,Genesis,Locusts,Mount Sinai,Jesus wept
What was the first miracle of Jesus?,Judas Iscariot,He hanged himself,Garden of Eden,Turning water into wine,Turning water into wine
How many disciples did Jesus have?,40,12,66,Samuel,12
Who was the apostle that doubted Jesus’ resurrection?,Thomas,Adam,Judas Iscariot,Tax collector,Thomas
How many days did it rain during the flood?,Manna,Mary Magdalene,40 days,Loaves and fishes,40 days
What did God create on the first day?,Light,Mary,Tax collector,Paul,Light
Who was the first man created by God?,Jonah,Adam,Cain,Revelation,Adam
What did Moses part to allow the Israelites to escape Egypt?,Tax collector,Frogs,The Red Sea,Do unto others as you would have them do unto you,The Red Sea
How many days did God take to create the world?,Turning water into wine,Jonah,Do unto others as you would have them do unto you,6,6
Who was the strongest man in the Bible?,Jordan River,Samson,12,David,Samson
Where did Moses receive the Ten Commandments?,Mary,Mount Sinai,Mary Magdalene,Wisdom,Mount Sinai
Which book of the Bible tells the story of David and Goliath?,40,Jericho,Bartimaeus,1 Samuel,1 Samuel
Which disciple denied Jesus three times?,Peter,Esther,He washed their feet,Light,Peter
What is the name of the river where Jesus was baptized?,He washed their feet,Jordan River,Bethlehem,8,Jordan River
Who killed Abel?,Mary Magdalene,Cain,Stephen,10,Cain
What was Peter’s occupation before following Jesus?,Thomas,Fisherman,40 days,Locusts,Fisherman
How many books are in the Bible?,66,Wisdom,12,Genesis,66
How many people were on Noah’s ark?,Loaves and fishes,Love the Lord your God with all your heart,Esther,8,8
Who is the mother of Jesus?,He washed their feet,He hanged himself,Deborah,Mary,Mary
What was the name of the first king of Israel?,40,Saul,Peter,Thomas,Saul
What is the greatest commandment according to Jesus?,40,Wine,Love the Lord your God with all your heart,Methuselah,Love the Lord your God with all your heart
What was the occupation of Matthew before he followed Jesus?,Stephen,Tax collector,Samuel,Jonah,Tax collector
How many disciples did Jesus have?,Loaves and fishes,Deborah,12,Goliath,12
Who interpreted dreams for the Pharaoh of Egypt?,66,Mary,Joseph,Bartimaeus,Joseph
"What did Jesus feed 5,000 people with?",Love the Lord your God with all your heart,Loaves and fishes,Mount Sinai,Peter,Loaves and fishes
What was the name of Moses’ sister?,6,Miriam,Noah,Cain,Miriam
Who betrayed Jesus for 30 pieces of silver?,Turning water into wine,Love the Lord your God with all your heart,Wine,Judas Iscariot,Judas Iscariot
Where did Moses receive the Ten Commandments?,Genesis,Mount Sinai,Jesus wept,Pontius Pilate,Mount Sinai
What food did God provide the Israelites in the wilderness?,David,6,8,Manna,Manna
Who was the tax collector that climbed a tree to see Jesus?,Fisherman,King Herod,Zacchaeus,40,Zacchaeus
How many fruits of the Spirit are mentioned in Galatians?,9,He washed their feet,Jonah,Light,9
Who was the apostle that doubted Jesus’ resurrection?,Paul,Thomas,Joseph,Samuel,Thomas
Which prophet was swallowed by a big fish?,Jonah,Abraham,1 Samuel,Moses,Jonah
Who was thrown into the lion’s den?,12,Thomas,Abraham,Daniel,Daniel
How many plagues did God send on Egypt?,Stephen,40,Do unto others as you would have them do unto you,10,10
Who was the Roman governor who sentenced Jesus to be crucified?,Zacchaeus,Pontius Pilate,Joseph,Locusts,Pontius Pilate
Which city’s walls fell after the Israelites marched around it?,Methuselah,King Herod,Jericho,Abraham,Jericho
Who built the ark?,6,Deborah,Noah,Zacchaeus,Noah
What was the name of Moses’ sister?,Miriam,He hanged himself,1 Samuel,Samuel,Miriam
Who is the mother of Jesus?,Jordan River,Mary,He hanged himself,Golgotha,Mary
Who was the first man created by God?,He washed their feet,Eve,Samuel,Adam,Adam
What did Moses part to allow the Israelites to escape Egypt?,King Herod,Frogs,The Red Sea,Samson,The Red Sea
What was the name of the sea Jesus calmed during a storm?,Sea of Galilee,Wisdom,Loaves and fishes,Pontius Pilate,Sea of Galilee
Who was the tax collector that climbed a tree to see Jesus?,Zacchaeus,Locusts,Cain,12,Zacchaeus
What was the occupation of Matthew before he followed Jesus?,Genesis,12,Tax collector,Locusts,Tax collector
What was the occupation of Matthew before he followed Jesus?,Revelation,Tax collector,King Herod,Judas Iscariot,Tax collector
Who anointed David as king?,Sea of Galilee,Light,Deborah,Samuel,Samuel
How many fruits of the Spirit are mentioned in Galatians?,9,The Red Sea,Abraham,Noah,9
Who was the strongest man in the Bible?,"Shadrach, Meshach, Abednego",Do unto others as you would have them do unto you,8,Samson,Samson
Who wrote most of the New Testament?,He hanged himself,Paul,Genesis,Fisherman,Paul
What is the first book of the Bible?,Genesis,"Shadrach, Meshach, Abednego",Wisdom,Deborah,Genesis
Who was the oldest person in the Bible?,Adam,Methuselah,Locusts,He hanged himself,Methuselah
Who was thrown into the lion’s den?,Loaves and fishes,Locusts,Peter,Daniel,Daniel
What food did God provide the Israelites in the wilderness?,Eve,The Red Sea,Jesus wept,Manna,Manna
What was the name of the garden where Adam and Eve lived?,Stephen,Deborah,Garden of Eden,Wine,Garden of Eden
What is the greatest commandment according to Jesus?,Mount Sinai,Peter,Love the Lord your God with all your heart,Sea of Galilee,Love the Lord your God with all your heart
How did Judas Iscariot die?,He hanged himself,Mount Sinai,Paul,Frogs,He hanged himself
What was the name of the sea Jesus calmed during a storm?,Sea of Galilee,The Red Sea,Golgotha,Esther,Sea of Galilee
Who was the apostle that doubted Jesus’ resurrection?,Pontius Pilate,Thomas,Light,8,Thomas
Who was the Roman governor who sentenced Jesus to be crucified?,Revelation,Fisherman,He hanged himself,Pontius Pilate,Pontius Pilate
What was the occupation of Matthew before he followed Jesus?,Tax collector,Frogs,Joseph,10,Tax collector
Who anointed David as king?,Methuselah,Mount Sinai,66,Samuel,Samuel
Who betrayed Jesus for 30 pieces of silver?,Thomas,10,Judas Iscariot,Eve,Judas Iscariot
Who betrayed Jesus for 30 pieces of silver?,Peter,Mount Sinai,Judas Iscariot,Eve,Judas Iscariot
What did Solomon ask God to give him?,Esther,Wisdom,Jonah,Goliath,Wisdom
How many days did it rain during the flood?,Do unto others as you would have them do unto you,40 days,Stephen,Noah,40 days
How many days did God take to create the world?,6,Daniel,Wine,Revelation,6
Who was the Roman governor who sentenced Jesus to be crucified?,Moses,Eve,Pontius Pilate,Psalms,Pontius Pilate
Which king wanted to kill baby Jesus?,King Herod,Jonah,40,40 days,King Herod
Who was the first person to see the risen Jesus?,9,Mary,Locusts,Mary Magdalene,Mary Magdalene
Who was thrown into the lion’s den?,He hanged himself,Sea of Galilee,Daniel,Fisherman,Daniel
Who was the strongest man in the Bible?,Adam,Genesis,9,Samson,Samson
Who led the Israelites out of Egypt?,The Red Sea,"Shadrach, Meshach, Abednego",Locusts,Moses,Moses
What was the name of the place where Jesus was crucified?,10,Golgotha,Saul,Peter,Golgotha
What type of insect did John the Baptist eat in the wilderness?,Wine,12,David,Locusts,Locusts
Who is the mother of Jesus?,Saul,David,40 days,Mary,Mary
What is the Golden Rule taught by Jesus?,Jonah,Bartimaeus,Do unto others as you would have them do unto you,He hanged himself,Do unto others as you would have them do unto you
Who was the first Christian martyr?,Mary Magdalene,Stephen,Jonah,Do unto others as you would have them do unto you,Stephen
Who was the giant killed by David?,Goliath,Light,6,Cain,Goliath
Who was the oldest person in the Bible?,Frogs,Methuselah,40 days,King Herod,Methuselah
What was the name of the place where Jesus was crucified?,Golgotha,Mary Magdalene,King Herod,Esther,Golgotha
What was the first miracle of Jesus?,Eve,6,Do unto others as you would have them do unto you,Turning water into wine,Turning water into wine
What was the name of the first king of Israel?,"Shadrach, Meshach, Abednego",Saul,Samuel,Peter,Saul
Who was the apostle that doubted Jesus’ resurrection?,Revelation,He hanged himself,Thomas,Esther,Thomas
Where did Moses receive the Ten Commandments?,Mount Sinai,Joseph,Thomas,6,Mount Sinai
Which book of the Bible tells the story of David and Goliath?,Light,Noah,1 Samuel,Deborah,1 Samuel
How many days did it rain during the flood?,40 days,The Red Sea,Samson,Jonah,40 days
What was the name of the sea Jesus calmed during a storm?,Love the Lord your God with all your heart,Sea of Galilee,Manna,Noah,Sea of Galilee
What was the name of the blind man Jesus healed?,Bethlehem,Noah,Paul,Bartimaeus,Bartimaeus
Who interpreted dreams for the Pharaoh of Egypt?,Saul,Pontius Pilate,10,Joseph,Joseph
Who killed Abel?,Cain,Mary Magdalene,Garden of Eden,1 Samuel,Cain
Who wrote most of the New Testament?,Sea of Galilee,Paul,Loaves and fishes,Manna,Paul
What was the name of the first king of Israel?,Garden of Eden,Jordan River,Saul,9,Saul
Who is the mother of Jesus?,Mary,8,Zacchaeus,Frogs,Mary
What was the occupation of Matthew before he followed Jesus?,Esther,Miriam,Turning water into wine,Tax collector,Tax collector
How many days did Jesus fast in the wilderness?,40,66,Samuel,Moses,40
What was the name of the garden where Adam and Eve lived?,Daniel,"Shadrach, Meshach, Abednego",Garden of Eden,Goliath,Garden of Eden
Who was thrown into the lion’s den?,Esther,Goliath,Daniel,Manna,Daniel
What is the shortest verse in the Bible?,Jesus wept,Peter,Esther,Turning water into wine,Jesus wept
Which disciple denied Jesus three times?,9,Psalms,Turning water into wine,Peter,Peter
Who was the first Christian martyr?,Manna,The Red Sea,Bethlehem,Stephen,Stephen
Who betrayed Jesus for 30 pieces of silver?,Judas Iscariot,8,Miriam,Frogs,Judas Iscariot
Who led the Israelites out of Egypt?,1 Samuel,Manna,Psalms,Moses,Moses
What type of insect did John the Baptist eat in the wilderness?,Locusts,Samuel,Jericho,8,Locusts
What was the first miracle of Jesus?,Turning water into wine,Loaves and fishes,Bethlehem,Samuel,Turning water into wine
What was the occupation of Matthew before he followed Jesus?,40,Love the Lord your God with all your heart,Frogs,Tax collector,Tax collector
What was the name of the first king of Israel?,Sea of Galilee,Daniel,Genesis,Saul,Saul
What was the name of the garden where Adam and Eve lived?,The Red Sea,Manna,Mary Magdalene,Garden of Eden,Garden of Eden
Who anointed David as king?,Light,Samson,Revelation,Samuel,Samuel
How did Judas Iscariot die?,He hanged himself,Thomas,Joseph,Genesis,He hanged himself
Which prophet was swallowed by a big fish?,Samson,Jonah,Saul,Esther,Jonah
What is the greatest commandment according to Jesus?,He washed their feet,9,Love the Lord your God with all your heart,"Shadrach, Meshach, Abednego",Love the Lord your God with all your heart
Who was thrown into the lion’s den?,Light,9,Pontius Pilate,Daniel,Daniel
Who is known as the father of faith?,Abraham,66,Judas Iscariot,Eve,Abraham
What did Jesus do at the Last Supper to his disciples?,The Red Sea,Jesus wept,He washed their feet,Bartimaeus,He washed their feet
What was the name of the first king of Israel?,12,Mount Sinai,Mary,Saul,Saul
What type of insect did John the Baptist eat in the wilderness?,Locusts,Genesis,66,10,Locusts
Who was the strongest man in the Bible?,Love the Lord your God with all your heart,66,He washed their feet,Samson,Samson
Who interpreted dreams for the Pharaoh of Egypt?,Jesus wept,Joseph,Light,Loaves and fishes,Joseph
Who led the Israelites out of Egypt?,Saul,Moses,Stephen,9,Moses
Which disciple denied Jesus three times?,Peter,Fisherman,Bethlehem,Moses,Peter
"What did Jesus feed 5,000 people with?",Loaves and fishes,King Herod,Do unto others as you would have them do unto you,Abraham,Loaves and fishes
Who was the tax collector that climbed a tree to see Jesus?,Jericho,66,Zacchaeus,Frogs,Zacchaeus
Which disciple denied Jesus three times?,Stephen,Samson,Peter,Love the Lord your God with all your heart,Peter
What food did God provide the Israelites in the wilderness?,9,Joseph,King Herod,Manna,Manna
What was the last book of the Bible?,Revelation,Frogs,Jesus wept,1 Samuel,Revelation
What was the occupation of Matthew before he followed Jesus?,Tax collector,Stephen,Noah,Sea of Galilee,Tax collector
Where was Jesus born?,Sea of Galilee,Miriam,Saul,Bethlehem,Bethlehem
What was the name of the sea Jesus calmed during a storm?,Goliath,Wisdom,Sea of Galilee,8,Sea of Galilee
What was the name of the first king of Israel?,Saul,Bartimaeus,Stephen,Daniel,Saul
Who was the strongest man in the Bible?,Samson,Esther,8,9,Samson
How many fruits of the Spirit are mentioned in Galatians?,Jesus wept,9,Mary,Noah,9
How many fruits of the Spirit are mentioned in Galatians?,Manna,Do unto others as you would have them do unto you,9,Daniel,9
Who wrote most of the New Testament?,Paul,Joseph,He washed their feet,40 days,Paul
What was Peter’s occupation before following Jesus?,Daniel,Fisherman,Jesus wept,Saul,Fisherman
Who was the oldest person in the Bible?,"Shadrach, Meshach, Abednego",Revelation,Genesis,Methuselah,Methuselah
Which city’s walls fell after the Israelites marched around it?,"Shadrach, Meshach, Abednego",Thomas,Wisdom,Jericho,Jericho
Who is known as the father of faith?,40,40 days,The Red Sea,Abraham,Abraham
Where was Jesus born?,Locusts,Bethlehem,Love the Lord your God with all your heart,Jonah,Bethlehem
Which king wanted to kill baby Jesus?,Sea of Galilee,King Herod,Miriam,Moses,King Herod
What was the name of the garden where Adam and Eve lived?,The Red Sea,Bartimaeus,1 Samuel,Garden of Eden,Garden of Eden
Where was Jesus born?,Psalms,Mount Sinai,Bethlehem,Bartimaeus,Bethlehem
What was the name of the garden where Adam and Eve lived?,Saul,10,Zacchaeus,Garden of Eden,Garden of Eden
Who was the first man created by God?,Adam,Jonah,40 days,Wine,Adam
Which city’s walls fell after the Israelites marched around it?,Turning water into wine,Jericho,Deborah,Thomas,Jericho
Who was the Roman governor who sentenced Jesus to be crucified?,40 days,Turning water into wine,Deborah,Pontius Pilate,Pontius Pilate
Who was the tax collector that climbed a tree to see Jesus?,Pontius Pilate,Deborah,8,Zacchaeus,Zacchaeus
What did Jesus turn water into?,Judas Iscariot,Jordan River,Wine,Frogs,Wine
What was the name of Moses’ sister?,Daniel,Miriam,Peter,Turning water into wine,Miriam
What is the shortest verse in the Bible?,Pontius Pilate,Joseph,Turning water into wine,Jesus wept,Jesus wept
